gene_symbol,ENSEMBL_ID,IBD,IBD.1,non.IBD,non.IBD.1,non.IBD.2,IBD.2,IBD.3,non.IBD.3,IBD.4,non.IBD.4
TAP1,ENSG00000168394,1264.746128,1666.21301,277.1122548,395.2274017,348.2053228,940.1484396,1360.739981,326.3369003,2200.386207,459.9925239
PSMB9,ENSG00000240065,414.8712425,446.3354201,23.39259294,70.36245409,68.82450267,328.1569803,267.4557893,64.43594847,472.1416928,85.91300057
LOC100294145,ENSG00000289047,53.2070571,92.12617213,50.38404633,74.10513782,72.32405366,70.74553081,62.56275774,69.97882576,51.47962383,57.27533372
HLA-DMB,ENSG00000242574,356.6310854,195.3710202,37.78803475,41.16952101,43.74438729,232.6931315,214.2774453,100.4646508,341.2363636,39.37679193
HLA-DMA,ENSG00000204257,425.6564568,338.3254252,62.98005792,72.60806433,89.82180857,361.3988562,218.9696521,114.3218441,954.5793104,32.21737521
BRD2,ENSG00000204256,1332.33347,1534.377281,1570.902587,2899.082816,1837.847525,2394.267422,1570.325219,2174.193616,2784.312226,1882.926596
HLA-DOA,ENSG00000204252,342.2507997,189.0174911,19.79373249,32.18708006,27.41314937,183.2564955,195.5086179,99.77179119,320.6445141,34.00722939
HLA-DPA1,ENSG00000231389,1455.284913,1156.342298,235.7253596,381.0052035,145.2313658,1205.231091,1640.708322,757.9884691,4228.683386,270.267981
HLA-DPB1,ENSG00000223865,510.5001425,741.7745238,196.1378947,284.4439633,49.57697226,1015.155749,1148.026605,609.023642,3172.615674,144.9781885
HLA-DPB2,ENSG00000224557,13.66127142,0,1.799430226,1.497073491,0.583258497,4.261778965,6.256275774,4.850017627,13.23761756,5.369562536
COL11A2,ENSG00000204248,4.314085711,0,12.59601158,16.4678084,9.332135955,1.704711586,0,16.62863186,5.88338558,28.63766686
RXRB,ENSG00000204231,175.4394856,187.4291088,284.3099757,223.812487,195.9748551,239.5119778,181.4319975,175.9863539,285.3442006,277.4273977
SLC39A7,ENSG00000112473,1245.332742,1383.480964,1148.036484,1107.085847,1207.345089,995.5515662,1334.150809,986.6321573,1175.20627,903.8763602
